Lemmato	Occorrenze
palpebra	3
controcielo	1
appollaiare	10
stettero	1
zitto	8
smorzare	3
Guardalo	1
spartire	1
sfrangiare	1
cappello	13
paglia	4
alcuni	3
incappucciare	5
lacero	4
brache	3
scalzare	2
fascia	2
pezza	1
collo	18
togliere	12
banda	14
ladruncolo	6
obbedire	3
ingiunzione	1
mattino	13
ripromettere	1
fermo	13
indicandoselo	1
lanciare	11
sottovoce	2
motto	1
sputare	5
nocciolo	2
qualcuna	4
bacare	1
beccare	5
averle	1
vorticare	2
picciòlo	1
mossa	6
fromboliere	1
Uuuh	1
pendere	5
battichiappe	1
soffocare	2
riso	5
matto	14
manigoldi	1
lerciare	1
bottino	3
cappuccio	5
pestone	1
fiutare	5
pericolo	9
deridere	1
sfoderare	1
brandire	5
accartocciato	2
ladroncelli	1
disappunto	1
meraviglia	4
compare	1
insulto	1
dialettale	1
Cuiasse	1
Belinùi	1
rallegrare	1
successo	2
furia	11
scatenare	5
latrare	2
stavolta	7
bastardelli	1
forcone	2
chiasso	3
allarme	10
agricoltore	3
ergere	3
attacco	3
Stanchi	2
proprietario	8
fìttavoli	3
vallata	3
federate	1
tattica	2
furfantelli	1
scalata	1
daccapo	1
cioè	7
venuto	2
cane	46
sguinzagliare	1
abbaiare	12
rampare	7
irto	3
forca	6
fieno	1
ladruncolitre	1
quattro	13
bucare	2
tridente	2
urlare	11
sfondare	1
testata	2
fìlari	2
sbigottire	5
precedere	4
minuto	8
vagabondo	7
tonto	2
andarsene	4
penzolare	3
susino	1
ritrovare	11
penare	1
carponi	2
tortuoso	1
bisognare	17
storcere	1
